EmployeeNumber,JobRole,JobLevel,Education,EducationField,Education Label
836,Manufacturing Director,2,3,Life Sciences,Bachelor
837,Healthcare Representative,2,3,Life Sciences,Bachelor
838,Research Scientist,1,4,Life Sciences,Master
840,Sales Executive,3,3,Marketing,Bachelor
842,Sales Executive,2,1,Medical,Below College
843,Research Director,4,2,Life Sciences,College
844,Research Director,3,1,Technical Degree,Below College
845,Manufacturing Director,3,3,Other,Bachelor
846,Sales Executive,2,4,Marketing,Master
847,Human Resources,1,2,Human Resources,College
848,Research Scientist,1,2,Medical,College
850,Research Scientist,1,3,Medical,Bachelor
851,Manager,4,4,Marketing,Master
852,Healthcare Representative,2,3,Medical,Bachelor
854,Research Scientist,1,1,Medical,Below College
855,Sales Executive,2,3,Medical,Bachelor
856,Research Scientist,1,1,Medical,Below College
857,Sales Executive,2,2,Life Sciences,College
859,Sales Executive,2,4,Life Sciences,Master
861,Research Scientist,1,4,Life Sciences,Master
862,Sales Executive,3,2,Marketing,College
864,Sales Executive,3,3,Marketing,Bachelor
865,Research Scientist,2,2,Medical,College
867,Manufacturing Director,4,4,Medical,Master
868,Sales Executive,2,4,Marketing,Master
869,Human Resources,1,2,Medical,College
872,Manufacturing Director,2,2,Life Sciences,College
874,Laboratory Technician,1,4,Life Sciences,Master
875,Research Scientist,1,1,Medical,Below College
878,Human Resources,1,3,Life Sciences,Bachelor
879,Sales Executive,2,1,Other,Below College
880,Manufacturing Director,3,3,Life Sciences,Bachelor
881,Research Scientist,1,4,Life Sciences,Master
882,Laboratory Technician,1,3,Life Sciences,Bachelor
885,Sales Executive,2,1,Marketing,Below College
887,Research Scientist,1,3,Technical Degree,Bachelor
888,Laboratory Technician,1,1,Life Sciences,Below College
889,Sales Executive,2,2,Life Sciences,College
893,Sales Representative,1,3,Marketing,Bachelor
894,Laboratory Technician,2,3,Life Sciences,Bachelor
895,Research Scientist,1,4,Life Sciences,Master
896,Sales Representative,1,3,Medical,Bachelor
897,Sales Executive,4,3,Marketing,Bachelor
899,Manufacturing Director,3,3,Technical Degree,Bachelor
900,Sales Representative,1,2,Medical,College
901,Research Director,4,4,Life Sciences,Master
902,Healthcare Representative,2,3,Life Sciences,Bachelor
903,Sales Executive,2,2,Marketing,College
904,Sales Executive,3,2,Medical,College
905,Manager,4,4,Life Sciences,Master
909,Human Resources,2,3,Life Sciences,Bachelor
910,Human Resources,1,2,Human Resources,College
911,Laboratory Technician,1,4,Life Sciences,Master
912,Laboratory Technician,1,1,Medical,Below College
913,Research Scientist,1,2,Life Sciences,College
916,Sales Executive,2,4,Medical,Master
918,Laboratory Technician,1,1,Life Sciences,Below College
920,Manufacturing Director,2,3,Life Sciences,Bachelor
922,Sales Representative,1,3,Medical,Bachelor
923,Research Scientist,1,1,Other,Below College
924,Healthcare Representative,2,1,Life Sciences,Below College
925,Sales Representative,1,4,Life Sciences,Master
926,Manufacturing Director,2,1,Life Sciences,Below College
927,Laboratory Technician,1,4,Life Sciences,Master
930,Research Scientist,1,3,Medical,Bachelor
932,Laboratory Technician,1,3,Medical,Bachelor
933,Research Scientist,1,3,Life Sciences,Bachelor
934,Laboratory Technician,1,3,Life Sciences,Bachelor
936,Sales Executive,2,2,Medical,College
939,Research Scientist,1,4,Other,Master
940,Healthcare Representative,3,3,Technical Degree,Bachelor
941,Sales Representative,1,4,Life Sciences,Master
942,Healthcare Representative,2,1,Life Sciences,Below College
944,Laboratory Technician,3,2,Other,College
945,Research Scientist,1,4,Medical,Master
947,Sales Executive,2,2,Marketing,College
949,Research Scientist,1,4,Other,Master
950,Research Director,3,3,Technical Degree,Bachelor
951,Laboratory Technician,1,3,Life Sciences,Bachelor
952,Sales Representative,1,2,Marketing,College
954,Sales Executive,3,4,Marketing,Master
956,Sales Executive,2,3,Medical,Bachelor
957,Laboratory Technician,1,3,Medical,Bachelor
958,Laboratory Technician,1,4,Medical,Master
959,Sales Representative,1,3,Other,Bachelor
960,Laboratory Technician,1,3,Technical Degree,Bachelor
961,Healthcare Representative,2,3,Medical,Bachelor
964,Research Scientist,1,4,Medical,Master
966,Manufacturing Director,2,4,Medical,Master
967,Sales Executive,3,1,Life Sciences,Below College
969,Healthcare Representative,2,3,Life Sciences,Bachelor
970,Sales Executive,3,4,Life Sciences,Master
972,Laboratory Technician,2,2,Life Sciences,College
974,Sales Representative,1,3,Technical Degree,Bachelor
975,Sales Executive,2,3,Medical,Bachelor
976,Manager,4,2,Life Sciences,College
977,Research Scientist,1,3,Technical Degree,Bachelor
981,Manager,4,2,Medical,College
982,Sales Executive,3,2,Other,College
983,Sales Executive,2,3,Technical Degree,Bachelor
984,Sales Executive,3,4,Life Sciences,Master
985,Sales Executive,3,5,Life Sciences,Doctor
986,Sales Executive,4,3,Life Sciences,Bachelor
987,Manufacturing Director,2,4,Medical,Master
990,Sales Executive,2,4,Technical Degree,Master
991,Research Scientist,1,2,Medical,College
992,Manager,4,3,Life Sciences,Bachelor
994,Research Scientist,1,3,Life Sciences,Bachelor
995,Research Scientist,1,1,Life Sciences,Below College
996,Laboratory Technician,1,4,Medical,Master
997,Research Director,4,2,Medical,College
998,Healthcare Representative,2,4,Other,Master
999,Research Director,5,3,Medical,Bachelor
1001,Laboratory Technician,1,4,Technical Degree,Master
1002,Laboratory Technician,2,2,Life Sciences,College
1003,Sales Executive,2,2,Life Sciences,College
1004,Research Scientist,1,3,Life Sciences,Bachelor
1005,Manufacturing Director,4,3,Life Sciences,Bachelor
1006,Research Scientist,1,1,Medical,Below College
1007,Manufacturing Director,3,2,Medical,College
1009,Manufacturing Director,2,1,Medical,Below College
1010,Laboratory Technician,1,4,Other,Master
1011,Manufacturing Director,2,1,Life Sciences,Below College
1012,Research Scientist,1,2,Life Sciences,College
1013,Manufacturing Director,3,3,Technical Degree,Bachelor
1014,Healthcare Representative,3,4,Medical,Master
1015,Research Director,3,2,Life Sciences,College
1016,Research Scientist,1,3,Medical,Bachelor
1017,Laboratory Technician,1,3,Medical,Bachelor
1018,Manufacturing Director,2,2,Medical,College
1019,Laboratory Technician,1,1,Life Sciences,Below College
1022,Healthcare Representative,2,3,Life Sciences,Bachelor
1024,Healthcare Representative,3,4,Life Sciences,Master
1025,Manufacturing Director,2,2,Medical,College
1026,Manufacturing Director,4,1,Life Sciences,Below College
1027,Manufacturing Director,2,4,Life Sciences,Master
1028,Laboratory Technician,1,3,Other,Bachelor
1029,Manager,5,2,Marketing,College
1030,Laboratory Technician,1,3,Life Sciences,Bachelor
1032,Manufacturing Director,4,3,Life Sciences,Bachelor
1033,Healthcare Representative,2,2,Medical,College
1034,Healthcare Representative,2,4,Medical,Master
1035,Research Director,5,1,Life Sciences,Below College
1036,Sales Executive,2,4,Life Sciences,Master
1037,Sales Executive,2,2,Medical,College
1038,Manager,5,1,Marketing,Below College
1039,Sales Executive,4,3,Medical,Bachelor
1040,Sales Executive,2,3,Life Sciences,Bachelor
1042,Laboratory Technician,1,4,Life Sciences,Master
1043,Manufacturing Director,3,3,Medical,Bachelor
1044,Sales Representative,1,1,Life Sciences,Below College
1045,Manager,4,2,Life Sciences,College
1046,Laboratory Technician,1,4,Medical,Master
1047,Sales Executive,2,4,Marketing,Master
1048,Manager,3,2,Technical Degree,College
1049,Human Resources,1,4,Medical,Master
1050,Sales Executive,3,3,Marketing,Bachelor
1052,Laboratory Technician,2,3,Other,Bachelor
1053,Research Scientist,1,3,Life Sciences,Bachelor
1055,Sales Representative,1,4,Life Sciences,Master
1056,Sales Representative,1,1,Medical,Below College
1060,Research Scientist,1,4,Other,Master
1061,Research Director,5,4,Medical,Master
1062,Healthcare Representative,2,3,Other,Bachelor
1066,Sales Executive,2,3,Marketing,Bachelor
1068,Research Scientist,1,1,Medical,Below College
1069,Research Director,5,4,Medical,Master
1070,Sales Executive,3,4,Life Sciences,Master
1071,Research Scientist,1,3,Medical,Bachelor
1073,Manufacturing Director,3,5,Medical,Doctor
1074,Manager,4,1,Medical,Below College
1076,Sales Executive,3,3,Medical,Bachelor
1077,Sales Representative,1,3,Marketing,Bachelor
1079,Laboratory Technician,1,3,Life Sciences,Bachelor
1080,Research Scientist,2,4,Life Sciences,Master
1081,Research Scientist,1,4,Life Sciences,Master
1082,Healthcare Representative,3,2,Technical Degree,College
1083,Laboratory Technician,1,2,Medical,College
1084,Manufacturing Director,2,3,Other,Bachelor
1085,Research Scientist,1,2,Technical Degree,College
1088,Healthcare Representative,3,1,Life Sciences,Below College
1092,Healthcare Representative,3,4,Technical Degree,Master
1094,Laboratory Technician,1,5,Life Sciences,Doctor
1096,Manufacturing Director,3,1,Life Sciences,Below College
1097,Research Scientist,2,3,Other,Bachelor
1098,Human Resources,3,2,Medical,College
1099,Healthcare Representative,3,3,Life Sciences,Bachelor
1100,Sales Executive,3,3,Technical Degree,Bachelor
1101,Research Scientist,2,4,Medical,Master
1102,Laboratory Technician,1,2,Life Sciences,College
1103,Healthcare Representative,2,1,Life Sciences,Below College
1105,Sales Executive,2,4,Life Sciences,Master
1106,Laboratory Technician,1,1,Technical Degree,Below College
1107,Laboratory Technician,1,3,Medical,Bachelor
1108,Research Scientist,1,3,Medical,Bachelor
1109,Manager,4,2,Medical,College
1111,Laboratory Technician,1,3,Medical,Bachelor
1113,Sales Executive,2,4,Other,Master
1114,Sales Executive,2,3,Life Sciences,Bachelor
1115,Research Scientist,1,4,Life Sciences,Master
1116,Manager,4,4,Medical,Master
1117,Sales Executive,2,4,Life Sciences,Master
1118,Healthcare Representative,3,4,Life Sciences,Master
1119,Sales Executive,3,4,Marketing,Master
1120,Research Scientist,1,4,Life Sciences,Master
1121,Manufacturing Director,3,3,Medical,Bachelor
1124,Manager,4,1,Marketing,Below College
1125,Sales Executive,3,2,Marketing,College
1126,Manufacturing Director,3,3,Life Sciences,Bachelor
1127,Healthcare Representative,4,3,Life Sciences,Bachelor
1128,Research Director,5,3,Medical,Bachelor
1131,Research Scientist,1,1,Technical Degree,Below College
1132,Laboratory Technician,2,3,Life Sciences,Bachelor
1133,Manufacturing Director,2,4,Life Sciences,Master
1135,Sales Representative,1,3,Life Sciences,Bachelor
1136,Research Scientist,1,1,Life Sciences,Below College
1137,Sales Executive,2,2,Marketing,College
1138,Sales Executive,4,4,Technical Degree,Master
1140,Manufacturing Director,2,2,Life Sciences,College
1143,Research Scientist,1,3,Life Sciences,Bachelor
1148,Laboratory Technician,2,3,Medical,Bachelor
1150,Manufacturing Director,2,1,Medical,Below College
1152,Human Resources,1,3,Human Resources,Bachelor
1154,Research Scientist,1,3,Life Sciences,Bachelor
1156,Laboratory Technician,1,1,Medical,Below College
1157,Sales Executive,2,4,Marketing,Master
1158,Laboratory Technician,1,4,Life Sciences,Master
1160,Laboratory Technician,1,3,Medical,Bachelor
1161,Healthcare Representative,2,2,Medical,College
1162,Research Scientist,1,3,Life Sciences,Bachelor
1163,Sales Executive,2,1,Life Sciences,Below College
1164,Human Resources,1,4,Technical Degree,Master
1165,Sales Executive,3,1,Life Sciences,Below College
1166,Research Director,3,4,Medical,Master
1167,Sales Executive,4,3,Life Sciences,Bachelor
1171,Sales Executive,2,4,Marketing,Master
1172,Laboratory Technician,1,4,Medical,Master
1173,Laboratory Technician,1,3,Medical,Bachelor
1175,Laboratory Technician,1,1,Life Sciences,Below College
1177,Laboratory Technician,1,4,Medical,Master
1179,Sales Executive,2,3,Marketing,Bachelor
1180,Research Scientist,2,2,Medical,College
1182,Manufacturing Director,3,3,Life Sciences,Bachelor
1184,Healthcare Representative,2,3,Medical,Bachelor
1185,Laboratory Technician,1,4,Other,Master
1188,Sales Executive,2,3,Marketing,Bachelor
1190,Sales Representative,1,1,Life Sciences,Below College
1191,Manager,5,4,Technical Degree,Master
1192,Laboratory Technician,1,1,Medical,Below College
1193,Research Scientist,1,2,Life Sciences,College
1195,Research Scientist,1,3,Medical,Bachelor
1196,Manufacturing Director,2,3,Life Sciences,Bachelor
1198,Laboratory Technician,1,3,Life Sciences,Bachelor
1200,Research Scientist,1,4,Life Sciences,Master
1201,Manager,5,2,Medical,College
1202,Research Scientist,1,1,Life Sciences,Below College
1203,Research Scientist,1,4,Life Sciences,Master
1204,Manager,4,3,Marketing,Bachelor
1206,Research Scientist,1,3,Life Sciences,Bachelor
1207,Human Resources,1,3,Human Resources,Bachelor
1210,Research Scientist,1,2,Life Sciences,College
1211,Sales Executive,2,4,Life Sciences,Master
1212,Sales Executive,2,4,Medical,Master
1215,Manager,4,3,Medical,Bachelor
1216,Laboratory Technician,1,4,Medical,Master
1217,Research Director,5,2,Life Sciences,College
1218,Sales Executive,2,4,Life Sciences,Master
1219,Laboratory Technician,1,2,Life Sciences,College
1220,Sales Executive,2,3,Medical,Bachelor
1221,Laboratory Technician,1,4,Life Sciences,Master
1224,Laboratory Technician,2,4,Life Sciences,Master
1225,Research Scientist,2,4,Other,Master
1226,Sales Representative,1,3,Marketing,Bachelor
1228,Manufacturing Director,2,4,Technical Degree,Master
1231,Human Resources,2,5,Medical,Doctor
1233,Sales Executive,2,4,Marketing,Master
1234,Laboratory Technician,1,3,Other,Bachelor
1235,Research Scientist,2,2,Life Sciences,College
1237,Manufacturing Director,3,3,Technical Degree,Bachelor
1238,Research Scientist,1,3,Medical,Bachelor
1239,Sales Executive,2,3,Technical Degree,Bachelor
1240,Sales Executive,2,4,Life Sciences,Master
1241,Research Scientist,1,3,Medical,Bachelor
1242,Research Director,3,5,Medical,Doctor
1243,Sales Executive,3,2,Marketing,College
1244,Research Scientist,1,3,Life Sciences,Bachelor
1245,Manufacturing Director,3,4,Life Sciences,Master
1246,Research Scientist,1,1,Life Sciences,Below College
1248,Research Scientist,1,3,Medical,Bachelor
1249,Research Scientist,1,3,Life Sciences,Bachelor
1250,Research Director,4,3,Life Sciences,Bachelor
1251,Healthcare Representative,2,2,Medical,College
1252,Healthcare Representative,2,3,Medical,Bachelor
1254,Sales Executive,2,3,Life Sciences,Bachelor
1255,Research Director,5,3,Life Sciences,Bachelor
1256,Manager,5,2,Medical,College
1257,Research Scientist,1,3,Technical Degree,Bachelor
1258,Laboratory Technician,1,2,Technical Degree,College
1259,Research Scientist,1,2,Life Sciences,College
1260,Healthcare Representative,2,3,Life Sciences,Bachelor
1263,Research Director,5,3,Life Sciences,Bachelor
1264,Research Director,4,3,Life Sciences,Bachelor
1265,Research Scientist,1,3,Technical Degree,Bachelor
1267,Manager,5,3,Marketing,Bachelor
1268,Sales Executive,3,5,Marketing,Doctor
1269,Research Scientist,1,3,Life Sciences,Bachelor
1270,Research Scientist,1,2,Life Sciences,College
1273,Sales Representative,1,1,Life Sciences,Below College
1275,Research Scientist,1,2,Life Sciences,College
1277,Manager,5,3,Marketing,Bachelor
1278,Healthcare Representative,4,1,Medical,Below College
1279,Laboratory Technician,1,2,Life Sciences,College
1280,Manager,5,2,Marketing,College
1281,Sales Executive,2,3,Marketing,Bachelor
1282,Manager,5,3,Life Sciences,Bachelor
1283,Manufacturing Director,3,4,Medical,Master
1285,Laboratory Technician,2,3,Medical,Bachelor
1286,Laboratory Technician,1,4,Medical,Master
1288,Manager,5,2,Life Sciences,College
1289,Human Resources,2,3,Life Sciences,Bachelor
1291,Research Scientist,1,1,Life Sciences,Below College
1292,Research Scientist,2,4,Medical,Master
1293,Sales Executive,3,4,Marketing,Master
1294,Manufacturing Director,2,4,Life Sciences,Master
1295,Healthcare Representative,3,3,Medical,Bachelor
1296,Laboratory Technician,1,3,Life Sciences,Bachelor
1297,Laboratory Technician,1,2,Medical,College
1298,Manufacturing Director,2,2,Medical,College
1299,Laboratory Technician,1,3,Technical Degree,Bachelor
1301,Research Scientist,1,3,Technical Degree,Bachelor
1303,Research Scientist,1,3,Medical,Bachelor
1304,Sales Executive,2,3,Medical,Bachelor
1306,Manager,5,3,Medical,Bachelor
1307,Manager,4,4,Medical,Master
1308,Research Scientist,1,4,Life Sciences,Master
1309,Laboratory Technician,2,2,Life Sciences,College
1310,Research Scientist,1,3,Medical,Bachelor
1311,Laboratory Technician,2,3,Technical Degree,Bachelor
1312,Healthcare Representative,3,4,Technical Degree,Master
1314,Human Resources,1,2,Life Sciences,College
1315,Laboratory Technician,2,3,Life Sciences,Bachelor
1317,Research Director,4,3,Life Sciences,Bachelor
1318,Sales Executive,3,4,Marketing,Master
1319,Sales Executive,3,3,Life Sciences,Bachelor
1321,Manager,3,4,Medical,Master
1322,Manufacturing Director,2,2,Life Sciences,College
1324,Sales Executive,3,4,Life Sciences,Master
1329,Sales Executive,2,2,Medical,College
1331,Sales Representative,1,3,Life Sciences,Bachelor
1333,Laboratory Technician,1,3,Life Sciences,Bachelor
1334,Manager,4,1,Life Sciences,Below College
1336,Manager,5,2,Medical,College
1338,Manager,5,4,Life Sciences,Master
1340,Research Scientist,1,2,Life Sciences,College
1344,Healthcare Representative,3,3,Life Sciences,Bachelor
1346,Research Scientist,2,3,Life Sciences,Bachelor
1349,Sales Executive,2,3,Marketing,Bachelor
1350,Research Scientist,2,4,Life Sciences,Master
1352,Manager,4,3,Life Sciences,Bachelor
1355,Sales Executive,2,2,Life Sciences,College
1356,Sales Executive,2,2,Medical,College
1358,Laboratory Technician,1,1,Medical,Below College
1360,Manufacturing Director,3,4,Medical,Master
1361,Laboratory Technician,1,4,Life Sciences,Master
1362,Sales Executive,2,3,Marketing,Bachelor
1363,Manufacturing Director,3,3,Life Sciences,Bachelor
1364,Sales Representative,1,3,Medical,Bachelor
1367,Manufacturing Director,4,2,Technical Degree,College
1368,Laboratory Technician,1,3,Life Sciences,Bachelor
1369,Laboratory Technician,2,3,Medical,Bachelor
1371,Sales Executive,2,1,Life Sciences,Below College
1372,Sales Executive,4,4,Marketing,Master
1373,Manufacturing Director,4,3,Life Sciences,Bachelor
1374,Research Scientist,1,1,Technical Degree,Below College
1375,Healthcare Representative,2,1,Medical,Below College
1377,Laboratory Technician,2,3,Medical,Bachelor
1379,Sales Representative,1,3,Life Sciences,Bachelor
1380,Sales Executive,2,4,Marketing,Master
1382,Research Scientist,1,3,Life Sciences,Bachelor
1383,Healthcare Representative,2,4,Technical Degree,Master
1387,Sales Executive,2,3,Life Sciences,Bachelor
1389,Manufacturing Director,2,4,Medical,Master
1390,Sales Executive,2,4,Life Sciences,Master
1391,Sales Executive,3,3,Marketing,Bachelor
1392,Research Scientist,2,3,Life Sciences,Bachelor
1394,Research Scientist,1,1,Life Sciences,Below College
1395,Sales Executive,2,1,Life Sciences,Below College
1396,Sales Executive,2,1,Marketing,Below College
1397,Healthcare Representative,3,2,Life Sciences,College
1399,Sales Executive,2,1,Life Sciences,Below College
1401,Manufacturing Director,4,2,Medical,College
1402,Research Scientist,2,3,Medical,Bachelor
1403,Sales Executive,2,3,Marketing,Bachelor
1405,Research Scientist,1,4,Life Sciences,Master
1407,Research Scientist,1,1,Medical,Below College
1408,Manager,4,3,Human Resources,Bachelor
1409,Laboratory Technician,1,4,Other,Master
1411,Laboratory Technician,1,3,Medical,Bachelor
1412,Manufacturing Director,3,2,Life Sciences,College
1415,Laboratory Technician,1,3,Technical Degree,Bachelor
1417,Laboratory Technician,1,3,Other,Bachelor
1419,Human Resources,3,3,Other,Bachelor
1420,Laboratory Technician,2,2,Life Sciences,College
1421,Healthcare Representative,3,1,Other,Below College
1422,Research Director,4,3,Medical,Bachelor
1423,Research Director,5,3,Medical,Bachelor
1424,Research Director,4,4,Medical,Master
1425,Sales Executive,2,4,Marketing,Master
1427,Sales Representative,1,4,Life Sciences,Master
1428,Sales Executive,2,4,Marketing,Master
1430,Research Director,4,5,Life Sciences,Doctor
1431,Research Scientist,1,4,Other,Master
1433,Research Scientist,1,3,Life Sciences,Bachelor
1434,Laboratory Technician,1,1,Life Sciences,Below College
1435,Laboratory Technician,2,4,Life Sciences,Master
1436,Sales Executive,2,4,Marketing,Master
1438,Research Scientist,1,3,Technical Degree,Bachelor
1439,Sales Representative,1,2,Life Sciences,College
1440,Laboratory Technician,1,2,Technical Degree,College
1441,Research Scientist,1,2,Life Sciences,College
1443,Research Director,4,4,Medical,Master
1445,Sales Executive,2,1,Medical,Below College
1446,Sales Executive,2,5,Marketing,Doctor
1447,Laboratory Technician,1,3,Life Sciences,Bachelor
1448,Research Scientist,1,5,Medical,Doctor
1449,Laboratory Technician,2,4,Other,Master
1453,Sales Executive,3,2,Life Sciences,College
1457,Sales Executive,3,3,Marketing,Bachelor
1458,Laboratory Technician,1,3,Life Sciences,Bachelor
1459,Manufacturing Director,3,5,Life Sciences,Doctor
1460,Healthcare Representative,3,3,Medical,Bachelor
1461,Human Resources,1,2,Medical,College
1464,Laboratory Technician,1,3,Life Sciences,Bachelor
1465,Manufacturing Director,3,3,Technical Degree,Bachelor
1466,Sales Executive,2,3,Marketing,Bachelor
1467,Human Resources,1,4,Technical Degree,Master
1468,Research Director,3,1,Medical,Below College
1469,Sales Executive,2,3,Medical,Bachelor
1471,Laboratory Technician,1,3,Life Sciences,Bachelor
1472,Research Director,4,3,Medical,Bachelor
1473,Healthcare Representative,2,4,Technical Degree,Master
1474,Research Scientist,1,3,Medical,Bachelor
1475,Research Scientist,1,3,Life Sciences,Bachelor
1477,Sales Executive,2,3,Medical,Bachelor
1478,Sales Executive,2,3,Other,Bachelor
1479,Sales Executive,2,1,Life Sciences,Below College
1480,Laboratory Technician,1,2,Medical,College
1481,Sales Executive,2,5,Marketing,Doctor
1482,Research Scientist,1,3,Technical Degree,Bachelor
1483,Research Scientist,2,2,Life Sciences,College
1484,Healthcare Representative,3,4,Life Sciences,Master
1485,Research Director,4,3,Medical,Bachelor
1486,Sales Representative,1,3,Technical Degree,Bachelor
1487,Sales Executive,2,3,Technical Degree,Bachelor
1489,Sales Executive,2,4,Medical,Master
1492,Sales Representative,1,1,Life Sciences,Below College
1494,Laboratory Technician,1,3,Medical,Bachelor
1495,Sales Representative,1,2,Life Sciences,College
1496,Manufacturing Director,3,1,Medical,Below College
1497,Sales Executive,2,3,Life Sciences,Bachelor
1499,Human Resources,1,3,Life Sciences,Bachelor
1501,Healthcare Representative,2,4,Life Sciences,Master
1502,Laboratory Technician,1,4,Medical,Master
1503,Sales Executive,2,3,Medical,Bachelor
1504,Laboratory Technician,1,2,Medical,College
1506,Research Scientist,1,3,Life Sciences,Bachelor
1507,Sales Executive,2,3,Life Sciences,Bachelor
1509,Laboratory Technician,2,2,Medical,College
1513,Laboratory Technician,1,1,Life Sciences,Below College
1514,Manufacturing Director,2,1,Life Sciences,Below College
1515,Healthcare Representative,2,5,Life Sciences,Doctor
1516,Manager,3,3,Medical,Bachelor
1520,Manager,4,4,Medical,Master
1522,Research Scientist,1,4,Technical Degree,Master
1523,Research Director,4,3,Life Sciences,Bachelor
1525,Manufacturing Director,3,3,Life Sciences,Bachelor
1527,Manager,4,3,Life Sciences,Bachelor
1529,Healthcare Representative,3,3,Life Sciences,Bachelor
1533,Laboratory Technician,2,1,Life Sciences,Below College
1534,Laboratory Technician,1,4,Life Sciences,Master
1535,Sales Executive,3,3,Technical Degree,Bachelor
1537,Research Scientist,1,3,Life Sciences,Bachelor
1539,Research Director,4,5,Medical,Doctor
1541,Sales Representative,1,2,Technical Degree,College
1542,Laboratory Technician,1,3,Medical,Bachelor
1543,Research Scientist,2,3,Medical,Bachelor
1544,Healthcare Representative,2,1,Other,Below College
1545,Manufacturing Director,2,3,Life Sciences,Bachelor
1546,Research Scientist,1,3,Technical Degree,Bachelor
1547,Healthcare Representative,3,3,Life Sciences,Bachelor
1548,Sales Executive,2,2,Medical,College
1549,Laboratory Technician,2,4,Life Sciences,Master
1550,Manager,4,2,Medical,College
1551,Laboratory Technician,1,2,Technical Degree,College
1552,Healthcare Representative,2,2,Life Sciences,College
1553,Healthcare Representative,3,4,Technical Degree,Master
1554,Sales Representative,1,4,Life Sciences,Master
1555,Research Scientist,2,2,Life Sciences,College
1556,Sales Representative,1,4,Life Sciences,Master
1557,Sales Executive,2,4,Life Sciences,Master
1558,Research Scientist,1,3,Life Sciences,Bachelor
1560,Sales Executive,2,4,Life Sciences,Master
1562,Sales Executive,2,3,Life Sciences,Bachelor
1563,Human Resources,2,4,Human Resources,Master
1564,Laboratory Technician,1,3,Medical,Bachelor
1568,Sales Executive,3,4,Technical Degree,Master
1569,Laboratory Technician,1,3,Life Sciences,Bachelor
1572,Manufacturing Director,3,5,Technical Degree,Doctor
1573,Manufacturing Director,2,3,Medical,Bachelor
1574,Research Scientist,2,4,Technical Degree,Master
1576,Research Scientist,1,4,Other,Master
1577,Research Scientist,1,4,Medical,Master
1578,Manager,5,5,Marketing,Doctor
1580,Research Scientist,2,4,Life Sciences,Master
1581,Research Scientist,1,3,Life Sciences,Bachelor
1582,Sales Executive,2,3,Life Sciences,Bachelor
1583,Sales Executive,2,3,Life Sciences,Bachelor
1585,Sales Executive,2,4,Life Sciences,Master
1586,Laboratory Technician,1,1,Medical,Below College
1587,Healthcare Representative,2,4,Medical,Master
1588,Sales Executive,3,3,Medical,Bachelor
1590,Healthcare Representative,2,1,Life Sciences,Below College
1591,Manager,5,3,Marketing,Bachelor
1592,Research Scientist,1,3,Technical Degree,Bachelor
1594,Laboratory Technician,2,4,Life Sciences,Master
1595,Manager,5,2,Other,College
1596,Laboratory Technician,2,3,Life Sciences,Bachelor
1597,Healthcare Representative,2,4,Technical Degree,Master
1598,Sales Executive,2,2,Life Sciences,College
1599,Laboratory Technician,1,3,Technical Degree,Bachelor
1601,Laboratory Technician,1,2,Life Sciences,College
1602,Manager,4,4,Life Sciences,Master
1604,Laboratory Technician,1,3,Medical,Bachelor
1605,Research Scientist,1,2,Other,College
1606,Healthcare Representative,4,5,Medical,Doctor
1607,Research Scientist,1,4,Other,Master
1608,Research Director,5,3,Medical,Bachelor
1609,Research Scientist,1,3,Medical,Bachelor
1611,Laboratory Technician,2,5,Medical,Doctor
1612,Sales Executive,2,3,Marketing,Bachelor
1613,Sales Executive,2,4,Other,Master
1614,Manufacturing Director,2,4,Life Sciences,Master
1615,Manufacturing Director,2,4,Life Sciences,Master
1617,Laboratory Technician,1,4,Life Sciences,Master
1618,Manufacturing Director,2,5,Medical,Doctor
1619,Laboratory Technician,1,3,Other,Bachelor
1621,Research Scientist,2,5,Life Sciences,Doctor
1622,Manufacturing Director,2,3,Medical,Bachelor
1623,Research Scientist,1,1,Medical,Below College
1624,Sales Representative,1,2,Medical,College
1625,Manager,5,4,Life Sciences,Master
1627,Laboratory Technician,2,2,Medical,College
1628,Manufacturing Director,3,3,Life Sciences,Bachelor
1630,Healthcare Representative,2,4,Life Sciences,Master
1631,Manufacturing Director,2,3,Life Sciences,Bachelor
1633,Manufacturing Director,2,3,Medical,Bachelor
1635,Manufacturing Director,2,2,Other,College
1638,Manufacturing Director,3,2,Medical,College
1639,Sales Executive,3,3,Medical,Bachelor
1640,Research Scientist,1,3,Medical,Bachelor
1641,Manufacturing Director,3,3,Life Sciences,Bachelor
1642,Human Resources,2,5,Human Resources,Doctor
1644,Manager,4,5,Medical,Doctor
1645,Sales Executive,2,2,Medical,College
1646,Research Scientist,1,1,Technical Degree,Below College
1647,Research Scientist,1,3,Medical,Bachelor
1648,Research Scientist,1,3,Medical,Bachelor
1649,Laboratory Technician,1,3,Life Sciences,Bachelor
1650,Sales Executive,2,3,Medical,Bachelor
1651,Healthcare Representative,3,4,Life Sciences,Master
1653,Manufacturing Director,2,1,Life Sciences,Below College
1654,Manufacturing Director,2,3,Medical,Bachelor
1655,Research Director,4,4,Other,Master
1656,Research Director,3,5,Life Sciences,Doctor
1657,Sales Representative,1,3,Medical,Bachelor
1658,Research Scientist,2,3,Life Sciences,Bachelor
1659,Laboratory Technician,1,3,Life Sciences,Bachelor
1661,Healthcare Representative,4,1,Life Sciences,Below College
1662,Manufacturing Director,2,4,Medical,Master
1664,Healthcare Representative,2,2,Life Sciences,College
